316376," Overseas Sovereign                                                     "," 01AK                              "," "
318376," parkway automotive                                                     "," 01ak0000                          "," "
318239," NORTHSTAR PRECAST CONCRETE LTD                                         "," 01AK0006                          "," "
315820," IT TELECOM                                                             "," 01AK0007                          "," "
316493," MILLER TIRE SERVICES LTD                                               "," 01AK0015                          "," "
317764," BASIN CONTRACTING LIMITED                                              "," 01AK0042                          "," "
320027," BLUNDEN CONSTR. LTD                                                    "," 01AK0046                          "," "
318132," HARRIS & ROOME SUPPLY LIMITED                                          "," 01AK0050                          "," "
315410," Borcherdt Concrete                                                     "," 01AK0056                          "," "
316787," ACE TOWING & CRANE LTD                                                 "," 01AK0061                          "," "
322077," BRIAN'S CRANE & TRUCK                                                  "," 01AK0061                          "," "
317352," CASH SALES - HERCULES 01AK                                             "," 01AK0061                          "," "
317264," Maximum Access                                                         "," 01AK0061                          "," "
784112460," Qantum Murray LP                                                       "," 01AK0061                          "," "
323742," SHAW PIPE                                                              "," 01AK0061                          "," "
319548," STRICTLY HYDRAULICS                                                    "," 01ak0061                          "," "
321732," Win Excavating Ltd.                                                    "," 01AK0061                          "," "
318367," Evangeline Excavotors                                                  "," 01AK0061-1                        "," "
315811," SCOTIA TERMINALS LTD                                                   "," 01AK0098                          "," "
317661," HARRIS REBAR                                                           "," 01AK0130                          "," "
317671," BRITNEY CONVEYOR LTD                                                   "," 01AK0132                          "," "
319235," OXFORD FROZEN FOODS LTD                                                "," 01ak0136                          "," "
318240," CANADIAN COAST GUARD                                                   "," 01AK0139                          "," "
316194," DEPARTMENT OF NATIONAL DEFENCE                                         "," 01AK0145                          "," "
319621," M/V ONEGO TRAVELER                                                     "," 01AK0145                          "," "
317454," CKF INC                                                                "," 01AK0151                          "," "
321824," M/V GENMAR ST. NIKOLAS                                                 "," 01AK0164                          "," "
317555," OTIS CANADA                                                            "," 01AK0164                          "," "
317780," NEPTUNE THEATRE FOUNDATION                                             "," 01AK0171                          "," "
318213," E BEATON SERVICES LTD                                                  "," 01AK0179                          "," "
317952," SUPERIOR PROPANE INC.                                                  "," 01AK0181                          "," "
323956," Hydraulic Systems Limited                                              "," 01ak0190                          "," "
317747," HALIFAX REGIONAL WATER COMMISSION                                      "," 01AK0195                          "," "
315982," TRI-COUNTY CONSTRUCTION LTD                                            "," 01AK0219                          "," "
317802," T.J. NOLAN CONSTRUCTION                                                "," 01AK0234                          "," "
317587," BJ ELECTRIC MOTOR & CONTROL LTD                                        "," 01AK0240                          "," "
317704," ACE TOWING & CRANE LTD-CASH MEMO AC                                    "," 01AK0244                          "," "
316154," BRYCON CONSTRUCTION                                                    "," 01AK0254                          "," "
318067," BRYCON CONSTRUCTION LIMITED                                            "," 01AK0254                          "," "
316544," WATERWORKS CONSTRUCTION                                                "," 01AK0268                          "," "
318166," ATLANTIC WHARF BUILDERS INC                                            "," 01AK0276                          "," "
318265," MILLENNIUM SHEET METAL LTD                                             "," 01AK0287                          "," "
318038," SCHOONER INDUSTRIAL                                                    "," 01AK0292                          "," "
317781," DEPT OF FISHERIES & OCEANS                                             "," 01AK0317                          "," "
317828," WALLACE EQUIPMENT LTD                                                  "," 01AK0326                          "," "
323703," DON MCNEILL ENTERPRISES LTD                                            "," 01ak0327                          "," "
318214," RUGGLES TOWING SERVICES LTD (CASH O                                    "," 01AK0342                          "," "
317602," LEVER CONSTRUCTION                                                     "," 01AK0346                          "," "
317569," BERGMAN CONCRETE PRODUCTS (CASH ONL                                    "," 01AK0373                          "," "
317716," ADDED TOUCH TOWING & RECOVERY INC                                      "," 01AK0380                          "," "
318175," KBI DOOR SERVICES                                                      "," 01AK0384                          "," "
317771," SHINING WATERS MARINE                                                  "," 01AK0389                          "," "
318298," OFFSHORE LOGISTICS INC                                                 "," 01AK0390                          "," "
317499," BOWATER MERSEY PAPER CO LTD                                            "," 01AK0400                          "," "
318065," LIGHTHOUSE LUMBER                                                      "," 01AK0406                          "," "
318183," TRC HYDRAULICS                                                         "," 01AK0426                          "," "
317731," MATHERS FREIGHT MANAGEMENT INC                                         "," 01AK0467                          "," "
318155," SEAMASTERS SERVICES LIMITED                                            "," 01AK0473                          "," "
317270," SEAMASTERS SERVICES LTD                                                "," 01AK0473                          "," "
317309," MARITIME DOCK & DOOR LIMITED                                           "," 01AK0477                          "," "
317297," SERCO DISTRIBUTION LTD                                                 "," 01AK0479                          "," "
317310," PARTNERS CONSTRUCTION LTD                                              "," 01AK0487                          "," "
318280," BARRETT ENTERPRISES LTD                                                "," 01AK0500                          "," "
318114," R.J MACISAAC CONSTRUCTION LTD.                                         "," 01AK0512                          "," "
318230," CANADIAN MARITIME ENGINEERING LTD                                      "," 01AK0516                          "," "
315856," CANADIAN MARITIME ENGINEERING LTD.                                     "," 01AK0516                          "," "
317720," NAUTEL LIMITED                                                         "," 01AK0522                          "," "
317232," AFFINITY CONTRACTING                                                   "," 01AK0534                          "," "
317895," AFFINITY CONTRACTING & ENVIRONMENTA                                    "," 01AK0534                          "," "
317784," SACKVILLE TRENCHING LIMITED                                            "," 01AK0552                          "," "
