317875," ABB INC (2265) SERV. PARTAGES                                          ",5000000
15682194," ABB Inc.                                                               ",5000000
318051," AAER INC.                                                              ",5000001
15682195," Alstom Canada (Gatineau)                                               ",5000010
317509," ALSTOM CANADA INC.(GATINEAU)                                           ",5000010
317879," A-1 RENT A TOOL                                                        ",5000200
318149," OCEANEX (1997) INC.                                                    ",5000810
317929," ABITIBI CONSOLIDATED (5001210)                                         ",5001208
318295," ABITIBI CONSOL. (CLERMONT) 111153                                      ",5001209
318123," ABITIBI BOWATER (DOLBEAU-MISTASSINI                                    ",5001211
318111," ACIER AGF INC.                                                         ",5002000
317880," ACIER POINTE-CLAIRE                                                    ",5002002
317777," ACRO CANADA INC.                                                       ",5002303
317948," AEROPORTS DE MONTREAL                                                  ",5003000
15682196," Air Canada 62                                                          ",5003701
318047," AIR CANADA                                                             ",5003706
317778," MERGA INDUSTRIES INC.                                                  ",5004001
317364," ALCAN INC.  (ARVIDA)                                                   ",5004200
15682198," S.E.C.A.L. (Arvida) [Alcan]                                            ",5004200
318150," CABLE ALCAN (JONQUIERE)                                                ",5004201
317681," ALCAN INC. (DURALCAN DUBUC)                                            ",5004800
317427," ALCAN INC.(BEAUHARNOIS)                                                ",5004900
15682199," S.E.C.A.L. (BEAUHARNOIS) [Alcan]                                       ",5004900
317739," ALCAN INC.(ALMA)                                                       ",5005005
15682200," S.E.C.A.L. (Usine Alma) [Alcan]                                        ",5005005
317339," ALCAN ALMA LIBRE SERVICE                                               ",5005006
317320," ALCAN INC. (ENERG ELECTRIQUE)                                          ",5005100
15682201," S.E.C.A.L (Energ Electrique) [Alcan]                                   ",5005100
317401," ALCAN INC.(SHAWINIGAN)                                                 ",5005200
322003," ALCAN INC.(ROBERVAL SAGUENAY)                                          ",5005400
317380," ALCAN INC.(INST. PORTUAIRE)                                            ",5005500
317654," ALUMINERIE ALOUETTE INC.(1798)                                         ",5005600
317327," ALCAN INC.(GRANDE BAIE)                                                ",5005700
317418," NOVELIS INC.                                                           ",5005800
317670," ALCAN INC.(LATERRIERE)                                                 ",5006200
318124," ALCAN PRIMARY METAL GROUP                                              ",5006210
317703," ALLIANCE WIRE ROPE INC.                                                ",5006903
317788," ALUMINERIE DE BECANCOUR                                                ",5007700
317805," AREVA T & D CANADA INC.                                                ",5008010
318151," AREVA T&D S.A.DE C.V. (EMX) (MEXICO                                    ",5008011
318152," ALSTOM CDN INC. POWER SERVICE                                          ",5008505
318287," APL SONORISTION                                                        ",5009048
318348," ASPHALTE DESJARDINS INC.                                               ",5009100
318302," ARBRO FER INC                                                          ",5009800
317473," ARCELORMITTAL CONTRECOEUR                                              ",5010114
317899," ARMSTRONG WORLD IND.CDN LTD                                            ",5010520
318227," ATELIERS RF                                                            ",5011306
318125," ATTACHES ERUPTION FASTENER                                             ",5012601
317949," DELOM SERVICES INC.                                                    ",5013300
318048," AVANTAGE INDUSTRIEL INC.                                               ",5013900
318112," 6588191CANADA  ANDROS MARINE                                           ",5014000
317757," P. BAILLARGEON LTEE (36340)                                            ",5015500
318228," BARRETTE CHAPAIS LTEE                                                  ",5016005
317868," BDI CANADA INC. (924)                                                  ",5016310
318049," ALCOA-ALUMINERIE DESCHAMBAULT                                          ",5022110
317550," ALCOA-ALUMINERIE (S.E.N.C)                                             ",5022120
318310," BELGEN INC                                                             ",5022210
317830," EXCAVATION BERGEVIN &                                                  ",5025130
318083," BETON PROVINCIAL LTEE (2742)                                           ",5027000
317715," BIBBY STE-CROIX                                                        ",5027100
318296," BOMBARDIER (LAPOCATIERE)                                               ",5027210
317932," CAMOPLAST INDUSTRIEL                                                   ",5027220
317842," BOMBARDIER (ST-BRUNO)                                                  ",5027230
317566," BOMBARDIER ( MASTER CARD) ONLY                                         ",5027235
15682191," Bombardier Aeronautique                                                ",5027235
318076," BOMBARDIER (CREDIT DE CARD)                                            ",5027238
318013," BOA-FRANC s.e.n.c                                                      ",5027304
318170," GE CANADA MOTEURS D'AVIONS                                             ",5027413
317740," GENERAL ELECTRIC CDN (EL PASO)                                         ",5027415
317852," ACIER BOUCHARD INC.                                                    ",5027710
317682," TECHOSE INC.                                                           ",5028510
318281," HERCULES SLR/BRIDGEPORT (LABRADOR)                                     ",5028621
317484," BRIDGESTONE CDN INC (511320)                                           ",5028710
15682202," Bridgestone Cdn Inc.                                                   ",5028710
318171," STATION DE SKI BROMONT                                                 ",5028810
318077," BROSPEC  2001 LP                                                       ",5028900
318126," BRUCKNER SUPPLY CO. (4828)                                             ",5028911
317601," BUHLER VERSATILE INC.                                                  ",5029201
321757," IEC HOLDEN                                                             ",5029910
319865," IEC HOLDEN USINE #155                                                  ",5029910
319745," IEC HOLDEN USINE# 105                                                  ",5029910
319850," IEC HOLDEN USINE# 135                                                  ",5029910
319712," IEC HOLDEN USINE# 137                                                  ",5029910
319721," IEC HOLDEN USINE# 137 MAINTENANCE                                      ",5029910
319711," IEC HOLDEN USINE# 153                                                  ",5029910
319545," IEC HOLDEN USINE# 8180                                                 ",5029910
318052," GENERAL CABLE                                                          ",5030110
317632," ACIERS CANAM INC. (20955)                                              ",5030400
317695," C.P.RAIL.CPT/PAYABLES(1001238)                                         ",5030500
317683," ECL-SERVICES INC.                                                      ",5030700
317386," HYDREXCEL INC.                                                         ",5030710
317392," COMM.SCOLAIRES DES TROIS-LACS                                          ",5030820
318061," C.S. MARGUERITE-BOURGEOYS                                              ",5031200
317525," CAMIONS INDUSTRIELS YALE MTL                                           ",5031406
318053," CAMFIL FARR                                                            ",5031408
317709," CAD RAILWAYS INDUSTRIES                                                ",5032010
317426," C.N.RAIL (VN115127)                                                    ",5032700
317793," SOCIETE CANADIENNE OVERHEAD                                            ",5034000
317549," FREIN & EMBRAYAGE JOUBERT                                              ",5034410
318014," AFT                                                                    ",5035200
317345," CAE ELECTRONICS (CDH18)                                                ",5035300
317888," PROGRESS RAIL CANADA CORPORATION                                       ",5035320
15682192," Bombardier Plant 8                                                     ",5035406
317416," BOMBARDIER INC. (CREDIT CARD)                                          ",5035410
318127," BOMBARDIER (MIRABEL) CARTE CREDIT)                                     ",5035420
318235," BOMBARDIER (CARTE DE CREDIT )                                          ",5035500
15682193," Bombardier                                                             ",5035600
318153," BOMBARDIER INC. (CARTE DE CREDIT)                                      ",5035600
318078," ALCAN INC.(ST-MAURICE)                                                 ",5035702
317976," C.A.A. QUEBEC                                                          ",5035711
317837," CANMEC CHICOUTIMI INC.                                                 ",5035900
317853," CANMEC LA BAIE INC.                                                    ",5035920
317993," HANSON CONDUITE SOUS PRESSION INC.                                     ",5036000
317472," HYTEX                                                                  ",5036010
317994," LEFEBVRE & BENOIT s.e.c                                                ",5036800
317854," QUINCAILLERIE J. CARRIER                                               ",5037510
318331," CBR LASER INC.                                                         ",5038601
317869," CASCADES SERV. ET ACHATS (39628)                                       ",5038740
317316," CASCADES EAST ANGUS INC(46639)                                         ",5038910
317308," CASCADES RECUPERATION (LACHINE)                                        ",5038943
317813," SOC. TERMINAUX MTL GATEWAY - CAST                                      ",5039200
317950," CARRIERES ST-DOMINIQUE                                                 ",5039700
317577," PMG TECHNOLOGIES                                                       ",5040800
317863," CHAGNON (1975) LTEE                                                    ",5043100
317360," ENT. CLAUDE CHAGNON INC.                                               ",5043800
317377," CIMENT QUEBEC INC.                                                     ",5046010
318236," ST- LAWRENCE CEMENT IN.                                                ",5046011
318172," CIOT IMPORTS LTEE/LTD (MONTREAL)                                       ",5046102
317995," CITERNES BEDARD INC.                                                   ",5046303
317565," CIRQUE DU SOLEIL                                                       ",5046305
318154," RTI CLARO INC.                                                         ",5046606
317729," CLIPPER INC                                                            ",5047000
317633," CLOISONS CORFLEX INC.                                                  ",5047011
317393," METAL COLERAINE INC.                                                   ",5048300
318062," DESIGN RUBBER LTD                                                      ",5048401
318271," ENTREPRISES H.M. METAL INC.                                            ",5049201
317578," COMM.SCOL DU LAC-ABITIBI (5992)                                        ",5050604
317870," COLLEGE EDOUARD MONTPETIT                                              ",5050610
317378," CONSTRUCTION POLARIS                                                   ",5050801
317361," CONTINENTAL CONVOYEUR                                                  ",5051400
317730," COOPERATIVE FEDEREE DE QC                                              ",5051810
318350," COOPERATIVE FEDEREE DU QC                                              ",5051820
317791," EQUIPEMENTS COMACT INC (BEAUCE)                                        ",5053200
317324," SOC. DE TRANSPORT DE MTL (10408)                                       ",5055000
317607," INDUSTRIES B. RAINVILLE INC.                                           ",5055701
318237," DAVIE QUEBEC INC.                                                      ",5055702
316514," MIL DAVIE QUEBEC                                                       ",5055702
317817," DAL-BEL ENR.                                                           ",5055800
317648," DELOUPE INC.                                                           ",5056800
323136," Tubes Delta, Societe en Comm                                           ",5057010
318113," ST-LAWRENCE CEMENT INC.(2006388                                        ",5057400
318229," DIACARB OUTILS/TOOLS                                                   ",5059408
318080," DICKNER INC                                                            ",5059600
